Temperatura,Humedad,Velocidad_viento,Dia_semana,Hora,Dia_festivo,Consumo_dia_anterior,Consumo_semana_anterior,Demanda_max_mes_anterior,Demanda_energia
14.98160475,45.42719682,18.68204092,Jueves,13,0,2676.380282,2498.746395,2819.559106,9070.423052
38.02857226,52.60920934,16.64560481,Sábado,21,0,4937.862521,5343.985372,5473.707839,18375.31911
29.27975767,86.90926539,8.807695625,Viernes,19,0,3319.276264,3449.592511,3727.321462,12560.49359
23.94633937,40.60039475,30.36333351,Viernes,17,0,4398.731154,4589.043097,4639.926684,16632.55192
6.240745618,88.26847163,23.83120803,Jueves,14,1,4854.237908,4663.991781,5175.937624,17223.6956
6.239780813,17.93209879,43.28504962,Jueves,22,0,3740.162036,3901.734624,4403.560117,13868.2734
2.323344487,79.91185935,1.605479024,Sábado,18,0,2310.521847,2407.458533,2488.429078,8419.355302
34.64704583,86.27928697,32.19339638,Miércoles,12,0,2234.427737,2276.732392,2564.455246,8649.517596
24.04460047,26.36358876,38.14744393,Domingo,11,0,1285.109632,1248.429622,1534.921845,4868.743693
28.32290311,48.73118791,37.97432846,Sábado,18,0,2711.088408,2879.725935,3377.45772,10210.01631
0.823379772,24.89497972,44.30369835,Miércoles,18,0,4661.557662,5069.460682,5431.252735,17074.21863
38.79639409,73.59437161,36.45168714,Miércoles,19,0,2912.249706,3127.691198,3391.353241,11256.98637
33.29770563,58.18129913,46.39050308,Miércoles,1,0,4643.979641,4405.259763,5033.442999,17560.96465
8.493564427,67.1791012,16.63282999,Sábado,20,0,4268.567733,4222.188745,5002.676772,15889.54454
7.272998688,27.68382703,25.16047084,Lunes,2,1,4936.748453,4781.156313,5918.003305,17590.01455
7.336180394,29.05712758,0.703983164,Lunes,9,0,4790.781128,4989.57895,5813.753292,18463.80675
12.16968972,13.7347593,0.347879365,Viernes,4,0,3825.933076,4079.585046,4534.96316,14900.55368
20.99025727,38.98607817,12.00633102,Lunes,11,1,4484.869148,4229.945716,4572.203938,15383.71582
17.27780075,60.37701952,5.040359857,Lunes,6,0,3992.310807,4349.443397,5179.738353,16628.68215
11.64916561,87.21414226,13.0105684,Miércoles,8,0,3813.578059,3948.829757,4628.064647,14879.5683
24.47411579,70.02347027,8.852164726,Miércoles,1,0,3862.238312,3644.754028,4512.184155,14563.86346
5.579754426,49.18566911,1.426001242,Jueves,9,1,3884.174701,3784.036492,4188.552532,14197.34018
11.68578594,95.7808103,45.46520732,Miércoles,5,0,2517.676047,2318.581679,2742.842581,9426.744688
14.65447373,74.73206805,0.411156569,Sábado,11,0,2694.249664,2746.55528,2812.286817,10048.78445
18.24279937,93.71486826,36.80410722,Jueves,5,1,2176.284637,2032.297955,2584.50035,8672.991805
31.40703846,57.48291759,7.607394346,Domingo,2,0,1593.042303,1654.562391,1966.690411,6369.51716
7.986951286,33.30138473,45.6114811,Jueves,9,0,2833.773601,2968.234313,3119.282573,11249.8392
20.56937754,14.75440177,44.63979698,Lunes,8,0,4599.797157,4580.786028,5240.096107,15782.39313
23.69658275,75.34763663,32.69505732,Miércoles,19,0,3605.058826,3312.19594,3751.777321,12476.97525
1.858016509,20.91726982,33.61170749,Lunes,4,0,1224.721439,1251.879193,1350.263648,4653.163713
24.30179408,37.24976154,0.266957098,Miércoles,2,0,4244.799778,4136.307155,4501.509454,15320.95632
6.820964947,57.92238171,49.24357831,Lunes,4,0,4741.606109,5168.016348,5570.698877,17778.5429
2.602063719,60.7974929,43.89163018,Domingo,7,0,4317.68976,4329.093389,4596.607731,15678.45047
37.95542149,64.05248773,44.75531129,Lunes,7,0,3910.165657,3575.663551,4180.194913,13503.23063
38.62528132,24.96297973,32.96222685,Lunes,13,0,1600.481583,1644.030394,1904.135816,5823.875568
32.33589392,44.17636643,17.23934643,Sábado,23,0,2395.999569,2529.865839,2681.671522,9221.376963
12.18455077,65.54748044,44.68243245,Domingo,21,0,3261.147553,3039.717467,3792.515977,12125.56215
3.90688456,97.28369782,14.57584641,Viernes,16,0,1307.443118,1294.122198,1455.948306,4816.922973
27.36932106,75.48680239,28.13557717,Domingo,10,0,1425.080857,1494.395921,1727.654618,5008.69855
17.60609975,93.03433814,4.986548617,Lunes,15,0,4737.015688,4282.729835,5607.575573,17476.97842
4.881529394,78.59908525,46.09778151,Martes,5,0,3810.764773,3451.767711,3916.265758,13583.71257
19.8070764,63.2545272,7.038522889,Martes,10,0,2100.348184,2174.663572,2324.232692,7574.090393
1.375540845,27.28210322,11.24484029,Martes,9,0,2309.441239,2413.424523,2440.241287,8243.853311
36.37281608,70.00170867,27.90670791,Sábado,22,1,2537.717217,2713.260982,2934.071607,10522.61495
10.35119926,66.10416094,38.20465001,Jueves,8,0,1300.28517,1274.175396,1362.023472,4347.264462
26.50089137,64.22222534,30.9675653,Lunes,23,0,3956.707995,3869.483685,4409.101064,14613.65653
12.46844304,54.08072812,11.60669564,Domingo,23,0,1707.336048,1725.217994,1995.521648,6267.105356
20.80272085,57.57909436,0.047152126,Martes,14,1,4220.480099,4437.688758,4869.356924,17139.50647
21.86841117,40.09982744,37.85752902,Sábado,6,0,4383.489719,4507.097288,4807.831153,15559.93574
7.394178221,56.73814234,49.2603663,Jueves,17,0,3553.73671,3431.007207,3662.165741,11724.53869
