Plataforma,Genero,Anio de lanzamiento,Puntuacion de la critica,Puntuacion de los usuarios,Ventas globales (millones),Clasificacion ESRB,Modo multijugador,Modo historia,Valoracion Final
Xbox Series X,Carreras,2022,7.4,6,9.26,E,No,Si,6.7
Switch,RPG,2023,7.2,10,23.37,E,No,Si,8.6
Xbox One,Accion,2017,7.2,9,5.03,M,Si,Si,8.1
PC,Plataformas,2005,7.8,6,25.75,T,No,Si,6.9
Xbox Series X,Carreras,2021,8.1,10,30.5,M,No,No,9.05
Xbox One,Deportes,2016,6,8,47.11,T,Si,Si,7
Xbox Series X,Plataformas,2024,9,2,17.35,E,No,Si,5.5
PS5,Carreras,2024,9.9,6,10.94,E,No,No,7.95
Xbox One,Carreras,2019,6.5,2,2.54,E,No,No,4.25
PS4,RPG,2020,8.4,5,9.5,M,Si,Si,6.7
Xbox One,RPG,2013,9,8,8.13,T,Si,No,8.5
PC,Simulacion,2014,8.6,10,23.51,E10+,Si,Si,9.3
Xbox One,Deportes,2015,6.9,10,9.19,E10+,No,No,8.45
PS5,Carreras,2020,6.7,3,3.48,E,No,Si,4.85
PC,RPG,2016,9.1,3,2.56,T,Si,No,6.05
PS5,Deportes,2025,8,9,39.37,E,Si,No,8.5
Xbox One,Puzzle,2015,8.5,4,24.83,E,Si,Si,6.25
PS5,Puzzle,2020,8.7,2,43.08,AO,No,Si,5.35
Switch,RPG,2020,7.4,7,4.88,E,Si,Si,7.2
PC,Deportes,2009,7.5,10,4.28,M,Si,No,8.75
PS4,RPG,2019,5.8,2,48.7,T,Si,Si,3.9
Xbox One,Simulacion,2016,9.8,9,20.99,AO,No,Si,9.4
PS5,Carreras,2020,8.8,5,7.55,E10+,Si,No,6.9
PC,RPG,2023,5.7,1,41.56,E,Si,Si,3.35
Xbox One,Simulacion,2017,5.9,1,48.75,E10+,Si,No,3.45
PC,Puzzle,2025,5.5,2,46.84,E10+,No,Si,3.75
Xbox One,RPG,2014,7.6,3,32.51,M,Si,Si,5.3
PS5,Plataformas,2025,7.6,3,37.82,M,No,Si,5.3
PS4,Aventura,2017,6.8,4,48.38,M,Si,Si,5.4
Switch,Plataformas,2021,8.8,8,16.91,T,No,Si,8.4
Switch,Deportes,2020,7.5,1,28.07,E,Si,Si,4.25
